CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
2640	2804	-13.0045	0	0.832158	0.587133	19
3192	3369	-14.0148	0	0.843857	0.522208	19
3081	3190	-10.0022	0	0.844859	0.572585	19
2819	3416	-47.9998	0	0.837155	0.606144	19
2788	2804	-1.00348	0	0.82084	0.623592	19
3556	3628	-5.95465	0	0.827395	0.605008	19
3348	3631	-21.9856	0	0.890961	0.702405	19
3193	3631	-33.9857	0	0.848423	0.490912	19
3007	3347	-27.9968	0	0.831037	0.57848	19
3007	3348	-27.997	0	0.880291	0.471342	19
2804	3190	-30.9844	0	0.84553	0.599814	19
3008	3386	-31.9896	0	0.852678	0.626544	19
998	999	-0.000305176	0	0.815519	0.58431	19
3751	4591	-72.0192	0	0.853292	0.604649	19
2058	2274	-13.9774	0	0.807486	0.528469	19
3192	3370	-14.0158	0	0.818546	0.590993	19
3628	4403	-62.0134	0	0.819823	0.575805	19
2640	3190	-43.9888	0	0.856414	0.625384	19
4143	4403	-21.9839	0	0.829834	0.401442	19
3347	3554	-15.9944	0	0.837825	0.613053	19
2854	3220	-29.9765	0	0.889185	0.612941	19
2788	2819	-2.01349	0	0.822968	0.604898	19
3345	3751	-31.9894	0	0.863802	0.603432	19
3369	3631	-19.9723	0	0.877863	0.406014	19
2439	2991	-42.0091	0	0.85853	0.503681	19
3347	3624	-21.9824	0	0.87996	0.431907	19
2439	3417	-77.0459	0	0.813084	0.577457	19
2640	2820	-14.0153	0	0.870738	0.59896	19
2788	3311	-41.0264	0	0.813258	0.406686	19
3624	3631	-0.00341797	0	0.920108	0.603928	19
2820	2854	-2.01263	0	0.809978	0.60095	19
2819	4143	-104.026	0	0.824915	0.474853	19
2223	2511	-21.9851	0	0.855542	0.589256	19
3993	4143	-12.0002	0	0.848735	0.4462	19
2788	2820	-2.01434	0	0.866037	0.613246	19
2786	2820	-2.01569	0	0.87938	0.609249	19
3193	3348	-12.0001	0	0.885189	0.518619	19
3369	3624	-19.9689	0	0.875518	0.440042	19
3347	4143	-62.0145	0	0.836092	0.461363	19
