45_2	CC(C)C(C)CCC(C)C1CCC2C3C(CCC12C)C4(C)CCC(CC4=CC3O)O
45_3	CC(C)C(C)CC(C(C)C1CCCC2C=CCCC(CCC(C)C2=CCC1C)O)=O
45_4	CC(CCCC(C)C1CCC2(C)C3CCC4C(C)(C)C(CCC54CC35CCC12C)O)CO
45_5	CC(C)C1CCC2C1(C)CCC3(C)C4CCC(C(=C)C)(C(CCCO)C4(C)CCC23C)O
45_6	CC(CCC(C(C)(C)O)O)C1CCC2(C)C3CCC4C(C)(C)C(CCC54CC35CCC12C)O
45_7	CC(C)C12CCC(C)C2C3(C)CCC4C5(C)CCC(C(C)(C)C5CCC4(C)C3=CC1)OC(C)=O
45_8	CC(C)C12CCC(C)C2C3(C)CCC4C(=CCC5C(C)(C)C(CCC45C)OC(C)=O)C3(C)CC1
45_9	CC(=O)OC1CCC2(C)C(CCC3(C)C4=CCC5(C)CCC(C)(C)CC5C4(C)CCC23)C1(C)C
45_10	CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C4C5CC(C)(C)CCC5(C)CCC43C)C1(C)C
45_11	CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC43C)OC(C)=O)C2C1C
45_12	CC(=O)OC1CCC2(C)C(CCC3(C)C2CCC4C5CC(C)(C)CCC5(C)C=CC43C)C1(C)C
45_13	C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(C(C)(C)C5CCC43C)OC(C)=O)C12
45_14	CC(C)C(C)CC(=O)C(C)C1CCCC2C=CCCC(CCC(C)C2=CCC1C)O
45_15	CC1(C2C(C(CCC3C(CCC(C(C)C)=C)C)C3(C)CC2)CC4O)C4CC(O)CC1
45_16	CC(C)C(C)CCC(C)C1CCC2C3C(CCC12C)C1(C)CCC(CC1=CC3O)O
45_17	CC(C)C1CCC2C1(C)CCC1(C)C3CCC(C(=C)C)(C(CCCO)C3(C)CCC21C)O
45_18	CC1(C)C(O)CCC2(C3)C1CCC4C23CCC5(C)C4(C)CCC5C(CCCC(CO)C)C
45_19	OC1CCC2(C3)C(CCC4C23CCC5(C)C4(C)CCC5C(CCC(C(C)(C)O)O)C)C1(C)C
45_20	CC(=O)O[C@@H]1CC[C@@]2(C)C(CC[C@]3(C)[C@@H]2CC[C@@H]2C4CC(C)(C)CC[C@]4(C)C=C[C@@]32C)C1(C)C
45_21	CC(OC1CCC2(C)C(CCC3(C)C2CCC4(C)C3=CCC5(C(C)C)C4C(C)CC5)C1(C)C)=O
45_22	CC(OC1CCC2(C)C(CC=C3C2CCC4(C)C3(C)CCC5(C(C)C)C4C(C)CC5)C1(C)C)=O
55_1	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3(CC2OC1=O)O)=O
55_2	CC1=C2C=C3CCC4C(C)(C)C(C(CC4(C)C3CC2OC1=O)=O)O
55_3	CC1=C2C(CC3C4(C)CCC5CC5(C)C4CCC3(C2=O)O)OC1=O
55_4	CC1(C)CCCC2(C)C1CCC34C2C=C5C(=C(CO)C(=O)O5)C3O4
55_5	CC1=C2C3C4(CCC5C(C)(C)CCCC5(C)C4C6C2(O6)OC1=O)O3
55_6	C=C1CCc2c(c(C)co2)C3C1C45C(C(C)CC4(C6C3(C)O6)O5)OC(C)=O
55_7	C=C(C)C1C=CC(C)C(C2CC(C)C(C2=CC(C)C(C1)=O)OC(C)=O)=O
55_8	C=C1CC23CCC4C(C)(C)C(CCC4(C)C3C(C1CC2=O)OC(C)=O)=O
55_9	CCC(C)C(=O)OC1C(C)CC23C4C(C)(C5C6=C(C)C(=O)OC6CC(C(=C)C5C12O3)O)O4
55_10	C=C(C)C1CCC(C)C23C(C1)=C(C)CC2Oc4c(cc5ccc(=O)oc5c4O3)OC
55_11	CC1=CC2C(CCC3(C)C(C4C(C(C)CC4(C1=O)OC(C)=O)OC(C)=O)O3)C2(C)C
55_12	CC(C)C(=O)OC12C(C3C=C(C)C(C4C(C=C(C)C4=O)C3(C(C)C1O)O)O)C2(C)C
55_13	C=C1C2CCC3C4(C)C(CC(C3(C1=O)C2OC(C)=O)O)C(C)(C)CCC4OC(C)=O
